DEBUG 2018-12-14 16:44:23,381 16650ms CompressAttribute      OnResultExecuting  - El compresor esta funcionando mediante GZIP
DEBUG 2018-12-14 16:44:29,730 22999ms TurnoController        Dispose            - Se elimino un turno
DEBUG 2018-12-14 16:44:34,916 28185ms TurnoController        Dispose            - Se elimino un turno
DEBUG 2018-12-14 16:44:36,835 30105ms HomeController         Index              - Iniciando Index en Home Controller
DEBUG 2018-12-14 16:44:36,836 30106ms CompressAttribute      OnResultExecuting  - El compresor esta funcionando mediante GZIP
DEBUG 2018-12-14 16:44:36,836 30106ms CompressAttribute      OnResultExecuting  - El compresor esta funcionando mediante GZIP
DEBUG 2018-12-14 16:44:40,294 33563ms AccountController      Login              - Usuaro inicio sesion
DEBUG 2018-12-14 16:44:56,568 49838ms HomeController         Index              - Iniciando Index en Home Controller
DEBUG 2018-12-14 16:44:56,569 49839ms CompressAttribute      OnResultExecuting  - El compresor esta funcionando mediante GZIP
DEBUG 2018-12-14 16:44:56,569 49839ms CompressAttribute      OnResultExecuting  - El compresor esta funcionando mediante GZIP
DEBUG 2018-12-14 16:45:08,463 61733ms TurnoController        Dispose            - Se elimino un turno
DEBUG 2018-12-14 20:45:14,161  4617ms TurnoController        Dispose            - Se elimino un turno
DEBUG 2018-12-14 20:45:20,654 11110ms HomeController         Index              - Iniciando Index en Home Controller
DEBUG 2018-12-14 20:45:20,668 11124ms CompressAttribute      OnResultExecuting  - El compresor esta funcionando mediante GZIP
DEBUG 2018-12-14 20:45:20,674 11130ms CompressAttribute      OnResultExecuting  - El compresor esta funcionando mediante GZIP
DEBUG 2018-12-14 20:45:36,763 27219ms AccountController      Login              - Usuaro inicio sesion
DEBUG 2018-12-14 20:45:50,736 41191ms HomeController         Index              - Iniciando Index en Home Controller
DEBUG 2018-12-14 20:45:50,737 41192ms CompressAttribute      OnResultExecuting  - El compresor esta funcionando mediante GZIP
DEBUG 2018-12-14 20:45:50,738 41193ms CompressAttribute      OnResultExecuting  - El compresor esta funcionando mediante GZIP
DEBUG 2018-12-14 20:45:55,573 46028ms TurnoController        Index              - Se accedio al Index de Turnos
DEBUG 2018-12-14 20:46:05,999 56454ms TurnoController        Dispose            - Se elimino un turno
DEBUG 2018-12-14 23:35:41,579 12911ms AccountController      Login              - Usuaro inicio sesion
DEBUG 2018-12-14 23:35:52,554 23887ms HomeController         Index              - Iniciando Index en Home Controller
DEBUG 2018-12-14 23:35:52,556 23889ms CompressAttribute      OnResultExecuting  - El compresor esta funcionando mediante GZIP
DEBUG 2018-12-14 23:35:52,558 23891ms CompressAttribute      OnResultExecuting  - El compresor esta funcionando mediante GZIP
DEBUG 2018-12-14 23:36:44,920 76252ms TurnoController        Index              - Se accedio al Index de Turnos
DEBUG 2018-12-14 23:47:47,026  3191ms HomeController         Index              - Iniciando Index en Home Controller
DEBUG 2018-12-14 23:47:47,057  3222ms CompressAttribute      OnResultExecuting  - El compresor esta funcionando mediante GZIP
